"Timestamp","What is your age? ","What is your gender?","What is your current level of education?","Do you have access to a mobile device?","Do you currently use any form of health tracking app (eg: Strava, Nike Run Club, Apple Fitness)?","What are some features offered by these health tracking apps that you enjoy?","How often do you use health tracking apps to track your physical activities/habits?","What difficulties do you face in staying motivated to use health tracking apps consistently and regularly?","What is the main reason for not using health tracking apps to track your physical activities/habits? ","How would you describe your attitude towards maintaining a healthy lifestyle?","Which health or fitness goal is most significant to you? ","How often do you engage in physical exercise (eg: sports, running, walking)?","What is your favourite physical activity (eg: sports, exercises, hobbies)?","What are the top 3 motivations for your participation in physical activities?","What types of rewards or incentives would encourage you to use an app regularly?","What types of content in a health tracking app would be most appealing to you?","To what extent does the presence of a social community aspect influence your app usage?","Select the top three gamification features that would be most appealing to you in a health tracking app","How much would you prefer to have game-based features in your apps? ","How much would you prefer to have challenge-based features in your apps?","What features would make you more likely to participate in community events or challenges within the app?","How likely are you to participate in family-based challenges or activities within a health tracking app?","To what extent would you be more inclined to use a health tracking app if it was incorporated into school curriculum?","How do you think schools could help promote health tracking apps (eg: H365) among students?","To what extent do you value personalised features in health tracking apps, such as tailored recommendations and content?","Which types of personalised health recommendations would you find most useful?","How important is it for you that a health tracking app adapts its recommendations and content to align with your specific health goals and activity data?","How likely are you to follow health recommendations if they are tailored to your specific goals and activity levels? ","Agreement"
"2024/08/22 7:22:07 pm GMT+8","13 Years Old","Prefer not to say","Secondary School","I have a personal mobile device","No","","","","Do not feel the need to","Neutral","Improve endurance","Rarely (Once a month)","Ice Skating","Enjoyment and fun;Stress relief and mental well-being;Ice skating makes me feel pretty.","money hehe","Personal development and self-improvement","2","Points and scoring systems;Rewards and unlockables;Challenges and quests","2","2","Interesting activities","2","2","Integrate health tracking with physical education (PE) curriculum in schools;School-wide fitness and health challenges","3","Exercise routines","3","3","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 7:49:07 pm GMT+8","17 Years Old","Female","Tertiary Education","I have a personal mobile device","Yes","Goal setting and tracking;Personalisation options (eg: customisable avatars, profiles or app interfaces","Every time I engage in fitness activities","","","Important","Lose weight","Rarely (Once a month)","Cardio exercise","Stress relief and mental well-being;Health benefits (eg: fitness, weight management);Setting and reaching personal goals","Virtual collectibles (eg: in-app cards that can be traded with friends);Personalised progress reports and recommendations;Virtual badges/achievements","Gamification elements (eg: badges)","3","Levels and progression;Challenges and quests;Rewards and unlockables","3","3","Friends participating;Rewards or incentives;Ease of joining events","4","4","Integrate health tracking with physical education (PE) curriculum in schools;School-wide fitness and health challenges","3","Exercise routines","4","4","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 7:55:30 pm GMT+8","16 Years Old","Female","Secondary School","I have a personal mobile device","No","","","","Do not feel the need to","Neutral","Lose weight","Once a week","cycling","Stress relief and mental well-being;Enjoyment and fun;Health benefits (eg: fitness, weight management)","Streaks or daily challenges","Gamification elements (eg: badges)","2","Levels and progression;Points and scoring systems;Rewards and unlockables","3","3","Rewards or incentives;Interesting activities","2","2","School-wide fitness and health challenges","3","Exercise routines","3","3","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 8:48:06 pm GMT+8","15 Years Old","Female","Secondary School","I have a personal mobile device","Yes","Personalisation options (eg: customisable avatars, profiles or app interfaces","Once in a while","Forgetting to log or update data","","Not very important","Lose weight","A few times a week","dance","Enjoyment and fun;Achieving a sense of accomplishment;Health benefits (eg: fitness, weight management)","Personalised progress reports and recommendations;Streaks or daily challenges","Adventure or exploration activities","2","Rewards and unlockables;Challenges and quests;Levels and progression","3","3","Friends participating;Ease of joining events","2","4","School-wide fitness and health challenges;Integrate health tracking with physical education (PE) curriculum in schools","4","i need all of them ","4","4","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 8:49:53 pm GMT+8","16 Years Old","Male","Secondary School","I have a personal mobile device","No","","","","Do not feel the need to","Very important","Improve endurance","Once a week","badminton","Enjoyment and fun;Improve skills or learn a new activity;Stress relief and mental well-being","Personalised progress reports and recommendations","Personal development and self-improvement","4","Streaks and milestones;Leaderboards;Challenges and quests","4","4","Interesting activities","2","1","School-wide fitness and health challenges","3","Nutrition and diet plans","3","3","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 9:00:26 pm GMT+8","17 Years Old","Prefer not to say","Tertiary Education","I have a personal mobile device","Yes","Personalisation options (eg: customisable avatars, profiles or app interfaces;Gamification (eg: challenges and quests, achievement trophies, virtual currency);Progress visualisation;Rewards and incentives","Every time I engage in fitness activities","","","Important","Lose weight","Once a week","Playing Nintendo Swiitch n Pikmin","Social interaction with friends or family;Enjoyment and fun;Health benefits (eg: fitness, weight management)","Virtual badges/achievements;Personalised progress reports and recommendations","Gamification elements (eg: badges)","1","Challenges and quests;Rewards and unlockables;Levels and progression","4","2","Rewards or incentives","4","3","School-wide fitness and health challenges","3","Nutrition and diet plans","4","4","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 10:00:31 pm GMT+8","17 Years Old","Female","Tertiary Education","I have a personal mobile device","No","","","","Do not feel the need to","Important","Lose weight","Once a week","HIIT workouts","Stress relief and mental well-being;Health benefits (eg: fitness, weight management);Achieving a sense of accomplishment","Personalised progress reports and recommendations;Competitions/leaderboard rankings","Social or collaborative features (eg: social community)","4","Social features;Levels and progression;Streaks and milestones","3","3","Rewards or incentives;Ease of joining events;Interesting activities;Friends participating","3","2","School-wide fitness and health challenges","3","Exercise routines","4","3","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 10:04:35 pm GMT+8","15 Years Old","Female","Secondary School","I have a personal mobile device","No","","","","Do not feel the need to","Neutral","Maintain current health","Once a week","maimai","Health benefits (eg: fitness, weight management);Enjoyment and fun;Social interaction with friends or family","Streaks or daily challenges;Virtual collectibles (eg: in-app cards that can be traded with friends)","Gamification elements (eg: badges)","2","Social features;Levels and progression;Rewards and unlockables","4","2","Rewards or incentives;Friends participating;Ease of joining events","3","2","School-wide fitness and health challenges","3","Daily health tips","3","2","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/22 10:10:53 pm GMT+8","16 Years Old","Female","Secondary School","I have a personal mobile device","Yes","Progress visualisation","Every time I engage in fitness activities","","","Important","Lose weight","Once a week","Volleyball (im bad at it)","Stress relief and mental well-being;Enjoyment and fun;Social interaction with friends or family","The thjngy where you pair with friendsss","Social or collaborative features (eg: social community)","1","Streaks and milestones;Social features;Rewards and unlockables","1","1","Friends participating","2","1","School-wide fitness and health challenges","2","Exercise routines","3","3","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
"2024/08/23 11:31:51 am GMT+8","16 Years Old","Female","Secondary School","I have a personal mobile device","Yes","Goal setting and tracking","I have the app but I do not use it","Forgetting to log or update data","","Neutral","Lose weight","Daily","badminton, volleyball ","Enjoyment and fun;Health benefits (eg: fitness, weight management);Social interaction with friends or family","Virtual collectibles (eg: in-app cards that can be traded with friends);Personalised progress reports and recommendations;Competitions/leaderboard rankings;Virtual badges/achievements","Adventure or exploration activities","3","Points and scoring systems;Streaks and milestones;Challenges and quests","4","3","Ease of joining events;Rewards or incentives;Friends participating;Interesting activities","4","4","Integrate health tracking with physical education (PE) curriculum in schools;School-wide fitness and health challenges","4","Nutrition and diet plans","4","4","I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z."
